file	block_index	status	second_line
source/diary/2006/0114-kanazawa.html.md.erb	1	phone	076-267-0323
source/diary/2006/0114-kanazawa.html.md.erb	2	phone	076-220-2800
source/diary/2006/0115-kanazawa.html.md.erb	1	phone	0761-95-5820
source/diary/2006/0115-kanazawa.html.md.erb	2	phone	076-234-3800
source/diary/2006/0215-karaage.html.md.erb	1	phone	TEL 088-821-0320
source/diary/2006/0216-daikichi.html.md.erb	1	phone	088-825-2632
source/diary/2006/0908-uohiro.html.md.erb	1	phone	045-340-3717
source/diary/2006/0921-us.html.md.erb	1	empty	
source/diary/2007/0201-uohiro.html.md.erb	1	phone	045-340-3717
source/diary/2007/1013-party.html.md.erb	1	phone	045-340-3717
source/diary/2007/1122-uohiro.html.md.erb	1	phone	045-340-3717
source/diary/2007/1222-hakone.html.md.erb	1	empty	
source/diary/2008/0129-india.html.md.erb	2	place-name	The Claridges New Delhi
source/diary/2008/0329-curry.html.md.erb	1	phone	TEL 045-326-2910
source/diary/2008/1212-park.html.md.erb	1	phone	0467-50-6058
source/diary/2009/0111-lunch.html.md.erb	1	phone	045-332-2377
source/diary/2009/0205-hinabe.html.md.erb	1	phone	045-261-6079
source/diary/2009/0522-dinner.html.md.erb	1	phone	045-261-6079
source/diary/2009/0717-fishing.html.md.erb	1	phone	046-888-0597
source/diary/2009/1018-uohiro.html.md.erb	1	phone	045-340-3717
source/diary/2009/1128-park.html.md.erb	1	phone	045-341-2764
source/diary/2009/1216-party.html.md.erb	1	phone	045-290-6878
source/diary/2010/0117-shibuya.html.md.erb	1	phone	03-3409-6361
source/diary/2010/0211-sibuya.html.md.erb	1	phone	03-3409-6361
source/diary/2010/0227-sinsairo.html.md.erb	1	phone	042-749-5350
source/diary/2010/0305-hinodecho.html.md.erb	1	phone	045-231-6137
source/diary/2010/0330-party.html.md.erb	1	phone	045-311-0600
source/diary/2010/0411-park.html.md.erb	1	phone	046-236-5008
source/diary/2010/0418-okinawa.html.md.erb	2	phone	098-938-0627
source/diary/2010/0419-nomi.html.md.erb	1	phone	045-441-0804
source/diary/2010/0523-yokohama.html.md.erb	1	phone	045-226-0722
source/diary/2010/0625-nomi.html.md.erb	1	phone	03-3405-4480
source/diary/2010/0628-lunch.html.md.erb	1	phone	03-6267-2904
source/diary/2010/0927-sinsairo.html.md.erb	1	phone	042-749-5350
source/diary/2010/1025-india.html.md.erb	1	place-name	The Claridges New Delhi
source/diary/2010/1107-odawara.html.md.erb	1	phone	0465-24-3189
source/diary/2010/1126-sinbasi.html.md.erb	1	phone	03-3432-1456
source/diary/2010/1207-lunch.html.md.erb	1	phone	03-3216-0564
source/diary/2010/1221-dinner.html.md.erb	1	phone	03-3985-9247
source/diary/2011/0218-sister.html.md.erb	2	empty	
source/diary/2011/0226-yokohama.html.md.erb	1	phone	045-226-0722
source/diary/2011/0405-lunch.html.md.erb	1	phone	03-3403-3014
source/diary/2011/0710-ckp.html.md.erb	1	phone	078-331-1354
source/diary/2011/0715-janog.html.md.erb	1	phone	03-3241-6618
source/diary/2012/0311-yokohama.html.md.erb	1	phone	045-226-0722
source/diary/2012/0615-makuhari.html.md.erb	1	phone	TEL: 043-213-3256
source/diary/2012/1003-india.html.md.erb	1	place-name	The Claridges New Delhi
source/diary/2012/1201-lunch.html.md.erb	1	phone	045-512-8882
source/diary/2013/0914-osaka.html.md.erb	1	phone	06-6955-7277
source/diary/2013/1028-lunch.html.md.erb	1	phone	03-3491-9470
source/diary/2013/1130-car.html.md.erb	1	phone	045-261-0520
source/diary/2014/0106-lunch.html.md.erb	1	phone	03-3491-9470
source/diary/2014/1001-meguro.html.md.erb	1	phone	03-3491-9470
source/diary/2015/0117-dinner.html.md.erb	1	phone	050-5570-0804
source/diary/2017/1013-lunch.html.md.erb	1	phone	03-3441-2491
source/diary/2017/1120-lunch.html.md.erb	1	phone	03-3779-4655
source/diary/2017/1211-lunch.html.md.erb	1	phone	03-5434-0464
source/diary/2018/0523-lunch.html.md.erb	1	phone	03-6431-9178
source/diary/2018/0621-lunch.html.md.erb	1	phone	03-3254-5517
source/diary/2018/0827-lunch.html.md.erb	1	phone	03-3441-2491
source/diary/2018/1002-lunch.html.md.erb	1	phone	03-5434-0464
source/diary/2022/0501-lunch.html.md.erb	1	phone	045-594-8222
source/diary/2022/0628-dallas.html.md.erb	1	empty	
